sample	chr	startpos	endpos	nProbesCr	nProbesAf	logR	baf	nMajor	nMinor	purifiedLogR	purifiedLoh
patient1_p1	chr3	71055451	71549450	441	238	0.8	0.358	4	2	0.955	0.322
patient1_p1	chr3	71550451	71766450	193	120	0.358	0.488	2	2	0.44	0.028
patient1_p1	chr3	71768451	84092750	11316	6369	-0.044	0.38	2	1	-0.057	0.307
patient1_p1	chr3	84092751	85346750	1188	796	1.215	0.253	7	2	1.419	0.543
patient1_p1	chr3	85347751	137140950	44881	22065	0.276	0.486	2	2	0.342	0.034
patient1_p1	chr3	137143951	189645850	48517	23385	0.549	0.417	3	2	0.665	0.193
patient1_p1	chr3	189645851	189653850	8	2	-0.812	0.49	1	1	-1.136	0.031
patient1_p1	chr3	189653851	193857450	3923	2548	0.547	0.422	3	2	0.663	0.182
patient1_p1	chr3	193857451	198098650	3260	2024	0.806	0.496	3	3	0.961	0.009
patient1_p1	chr4	137201	41911950	37945	23327	0.527	0.426	3	2	0.639	0.174
patient1_p1	chr4	41911951	52572850	7413	3805	0.253	0.482	2	2	0.314	0.043
patient1_p1	chr4	52572851	61820950	8477	5354	-0.059	0.367	2	1	-0.076	0.34
patient1_p1	chr4	61820951	72799200	9981	5163	0.242	0.29	3	1	0.3	0.511
patient1_p1	chr4	72799201	73861200	989	315	1.87	0.095	13	1	2.125	0.859
patient1_p1	chr4	73861201	74050200	180	138	2.196	0.079	17	1	2.468	0.883
patient1_p1	chr4	74051201	74630200	553	403	1.875	0.09	13	1	2.13	0.87
patient1_p1	chr4	74630201	159467050	78780	40010	-0.511	0.438	1	1	-0.684	0.177
patient1_p1	chr4	159467051	190037450	27998	16415	-1.155	0.216	1	0	-1.724	1.068
patient1_p1	chr5	43851	167495450	149014	72178	-0.09	0.352	2	1	-0.114	0.382
patient1_p1	chr5	167495451	181171350	11530	6330	0.011	0.377	2	1	0.013	0.312
patient1_p1	chr6	149001	7447550	6432	4380	-0.017	0.398	2	1	-0.021	0.259
patient1_p1	chr6	7447551	8118550	625	439	0.189	0.488	2	2	0.235	0.028
patient1_p1	chr6	8118551	37106750	25662	15179	-0.039	0.385	2	1	-0.05	0.292
patient1_p1	chr6	37106751	37797750	605	301	0.22	0.491	2	2	0.274	0.022
patient1_p1	chr6	37797751	47869650	9147	4649	0.023	0.381	2	1	0.03	0.3
patient1_p1	chr6	47869651	67480400	16003	6876	-0.07	0.37	2	1	-0.09	0.334
patient1_p1	chr6	67480401	69628400	2013	1062	-0.545	0.148	2	0	-0.733	1.015
patient1_p1	chr6	69628401	69875400	233	189	-0.1	0.344	2	1	-0.128	0.402
patient1_p1	chr6	69875401	100603400	28509	12021	-0.516	0.141	2	0	-0.691	1.026
patient1_p1	chr6	100603401	103899850	3107	1037	-0.113	0.364	2	1	-0.144	0.351
patient1_p1	chr6	103899851	106796850	2660	1237	0.268	0.486	2	2	0.331	0.033
patient1_p1	chr6	106796851	108983850	1932	949	-0.029	0.36	2	1	-0.036	0.357
patient1_p1	chr6	108983851	149325550	37725	16104	-0.505	0.136	2	0	-0.676	1.038
patient1_p1	chr6	149325551	149467550	133	120	-1.092	0.215	1	0	-1.609	1.033
patient1_p1	chr6	149467551	170611150	19178	11691	-0.489	0.14	2	0	-0.653	1.022
patient1_p1	chr7	50351	71617500	59469	36232	-0.05	0.131	3	0	-0.063	0.943
patient1_p1	chr7	71617501	72302500	591	278	0.253	0.294	3	1	0.313	0.501
patient1_p1	chr7	72303501	157158100	74065	36411	-0.065	0.125	3	0	-0.083	0.961
patient1_p1	chr7	157158101	159333850	1795	991	-0.502	0.172	2	0	-0.672	0.933
patient1_p1	chr8	212001	32756050	27809	22935	-1.049	0.267	1	0	-1.531	0.825
patient1_p1	chr8	32756051	32939050	154	11	-0.462	0.464	1	1	-0.615	0.103
patient1_p1	chr8	32939051	33337050	383	258	0.741	0.081	6	0	0.888	0.958
patient1_p1	chr8	33337051	35274050	1775	831	1.153	0.061	8	0	1.35	0.969
patient1_p1	chr8	35274051	37051050	1657	408	2.303	0.025	19	0	2.581	0.992
patient1_p1	chr8	37051051	37592050	516	219	1.786	0.041	13	0	2.035	0.978
patient1_p1	chr8	37592051	38393050	661	138	2.024	0.04	16	0	2.288	0.97
patient1_p1	chr8	38393051	38729050	295	129	2.551	0.024	23	0	2.839	0.986
patient1_p1	chr8	38729051	39068050	305	162	1.691	0.041	12	0	1.934	0.981
patient1_p1	chr8	39070051	40343050	1053	615	-0.438	0.176	2	0	-0.581	0.907
patient1_p1	chr8	40343051	41494050	1045	542	0.318	0.493	2	2	0.391	0.017
patient1_p1	chr8	41494051	41944050	401	126	2.114	0.148	15	2	2.383	0.74
patient1_p1	chr8	41944051	43509350	1334	219	1.91	0.164	12	2	2.167	0.712
patient1_p1	chr8	43509351	43937350	418	71	-0.001	0.418	2	1	-0.001	0.209
patient1_p1	chr8	45971351	56743750	10094	4526	0.286	0.488	2	2	0.353	0.028
patient1_p1	chr8	56743751	103486550	43209	18107	-0.391	0.205	2	0	-0.516	0.813
patient1_p1	chr8	103486551	105788550	2173	1276	-0.037	0.372	2	1	-0.047	0.326
patient1_p1	chr8	105793551	145075350	36392	17489	0.538	0.424	3	2	0.652	0.179
patient1_p1	chr9	14001	32151150	29814	17288	-0.508	0.442	1	1	-0.68	0.164
patient1_p1	chr9	32155151	136211250	67678	34051	-0.424	0.455	1	1	-0.562	0.125
patient1_p1	chr9	136211251	138208550	1601	575	0.083	0.39	2	1	0.105	0.276
patient1_p1	chr10	47451	35352450	31817	19332	-0.044	0.364	2	1	-0.056	0.346
patient1_p1	chr10	35352451	49712500	8862	6928	0.286	0.487	2	2	0.353	0.031
patient1_p1	chr10	49713501	92159500	38343	21105	-0.016	0.379	2	1	-0.021	0.308
patient1_p1	chr10	92159501	92568500	325	176	0.361	0.31	3	1	0.443	0.454
patient1_p1	chr10	92568501	133622150	37390	19708	0.002	0.379	2	1	0.002	0.306
patient1_p1	chr11	197251	4232350	3219	2429	0.341	0.49	2	2	0.42	0.024
patient1_p1	chr11	4234351	135075250	115710	61537	0.265	0.489	2	2	0.328	0.026
patient1_p1	chr12	79551	2130150	1775	824	0.595	0.418	3	2	0.719	0.19
patient1_p1	chr12	2136151	2149150	13	0	-0.726	NA	NA	NA	-1.002	NA
patient1_p1	chr12	2149151	32768600	27322	14740	0.562	0.417	3	2	0.68	0.195
patient1_p1	chr12	32768601	42343350	6534	4020	0.27	0.481	2	2	0.334	0.046
patient1_p1	chr12	42343351	60324350	15958	7347	0.584	0.423	3	2	0.706	0.18
patient1_p1	chr12	60324351	104200750	40728	19600	0.274	0.487	2	2	0.339	0.03
patient1_p1	chr12	104200751	133248950	25432	13766	-0.018	0.364	2	1	-0.023	0.344
patient1_p1	chr13	18355101	86823500	62939	32073	-0.515	0.138	2	0	-0.69	1.034
patient1_p1	chr13	86823501	87468500	603	93	-1.207	0.247	1	0	-1.824	0.981
patient1_p1	chr13	87468501	114351950	24659	15171	-0.509	0.14	2	0	-0.682	1.028
patient1_p1	chr14	19960301	20373300	365	326	-0.039	0.364	2	1	-0.05	0.346
patient1_p1	chr14	20373301	22882300	1726	1438	0.413	0.491	2	2	0.506	0.021
patient1_p1	chr14	22883301	23708350	659	400	0.019	0.355	2	1	0.024	0.365
patient1_p1	chr14	23708351	59172850	32550	17991	-0.495	0.449	1	1	-0.661	0.145
patient1_p1	chr14	59172851	73526850	13122	5838	-0.031	0.366	2	1	-0.039	0.34
patient1_p1	chr14	73558851	73583850	13	0	-1.387	NA	NA	NA	-2.196	NA
patient1_p1	chr14	73586851	95043850	19645	10458	-0.045	0.368	2	1	-0.057	0.337
patient1_p1	chr14	95043851	100079850	4735	2998	0.052	0.405	2	1	0.065	0.238
patient1_p1	chr14	100079851	100358850	236	76	-0.294	0.486	1	1	-0.384	0.037
patient1_p1	chr14	100358851	106883450	5093	2836	0.088	0.407	2	1	0.111	0.232
patient1_p1	chr15	17034751	33591950	8310	5085	0.536	0.432	3	2	0.651	0.158
patient1_p1	chr15	33591951	50537200	15015	5811	0.276	0.494	2	2	0.342	0.016
patient1_p1	chr15	50538201	50606200	62	29	0.851	0.324	5	2	1.012	0.4
patient1_p1	chr15	50606201	85903450	31024	15762	0.295	0.494	2	2	0.364	0.014
patient1_p1	chr15	85903451	85934450	27	26	1.644	0.215	10	2	1.884	0.612
patient1_p1	chr15	85934451	87911700	1818	796	0.534	0.424	3	2	0.647	0.177
patient1_p1	chr15	87911701	101882550	12754	8446	0.281	0.478	2	2	0.347	0.052
patient1_p1	chr16	21001	48585750	27463	15596	-0.401	0.171	2	0	-0.53	0.911
patient1_p1	chr16	48585751	90098000	36532	22259	-0.474	0.138	2	0	-0.631	1.022
patient1_p1	chr17	387901	83204050	64801	30220	-0.433	0.137	2	0	-0.575	1.013
patient1_p1	chr18	64351	15367250	13497	8994	0.291	0.49	2	2	0.359	0.025
patient1_p1	chr18	20949051	23723050	2443	360	0.587	0.418	3	2	0.71	0.191
patient1_p1	chr18	23723051	25514050	1667	904	0.298	0.488	2	2	0.367	0.028
patient1_p1	chr18	25514051	40187050	13796	6006	-0.068	0.362	2	1	-0.087	0.353
patient1_p1	chr18	40193051	77761250	34608	19570	-0.511	0.139	2	0	-0.685	1.03
patient1_p1	chr18	77761251	80068250	2002	1773	-0.05	0.367	2	1	-0.063	0.34
patient1_p1	chr18	80068251	80257250	169	118	-0.479	0.146	2	0	-0.639	1.002
patient1_p1	chr19	270951	5746950	3800	2665	-0.397	0.134	2	0	-0.524	1.012
patient1_p1	chr19	5748951	6306950	445	107	0.339	0.487	2	2	0.417	0.031
patient1_p1	chr19	6306951	9582250	2399	1757	-0.443	0.134	2	0	-0.588	1.025
patient1_p1	chr19	9583251	12451250	2145	934	-0.034	0.358	2	1	-0.043	0.362
patient1_p1	chr19	12451251	12963250	350	57	-0.408	0.156	2	0	-0.539	0.955
patient1_p1	chr19	12963251	13950250	730	399	2.06	0.159	14	2	2.325	0.719
patient1_p1	chr19	13950251	14241250	202	80	0.79	0.402	4	2	0.944	0.224
patient1_p1	chr19	14242251	14890250	467	308	-0.443	0.154	2	0	-0.588	0.968
patient1_p1	chr19	14890251	16071250	954	944	0.344	0.489	2	2	0.423	0.027
patient1_p1	chr19	16071251	16874250	637	300	-0.405	0.153	2	0	-0.535	0.961
patient1_p1	chr19	16874251	21847500	3884	2037	-0.186	0.274	2	1	-0.24	0.594
patient1_p1	chr19	21847501	29968150	4577	2506	0.127	0.43	2	1	0.159	0.173
patient1_p1	chr19	29968151	31661150	1578	751	0.293	0.494	2	2	0.362	0.014
patient1_p1	chr19	31661151	58538400	20865	12121	-0.01	0.365	2	1	-0.012	0.343
patient1_p1	chr20	67651	17254650	15867	8679	-0.471	0.144	2	0	-0.627	1.004
patient1_p1	chr20	17254651	17917650	620	327	-0.044	0.356	2	1	-0.055	0.367
patient1_p1	chr20	17917651	18448650	468	242	0.456	0.46	3	2	0.557	0.095
patient1_p1	chr20	18449651	18870650	383	262	-0.039	0.343	2	1	-0.049	0.4
patient1_p1	chr20	18870651	18961650	82	55	2.632	0.106	22	2	2.922	0.815
patient1_p1	chr20	18961651	19374650	389	134	-0.07	0.376	2	1	-0.089	0.319
patient1_p1	chr20	19374651	19872650	473	352	0.277	0.491	2	2	0.342	0.022
patient1_p1	chr20	19872651	22309650	2265	691	-0.5	0.152	2	0	-0.668	0.991
patient1_p1	chr20	22309651	24854650	2404	1610	0.246	0.491	2	2	0.306	0.021
patient1_p1	chr20	24854651	26363650	1215	336	-0.03	0.373	2	1	-0.038	0.323
patient1_p1	chr20	28916651	64285950	30225	15227	0.325	0.492	2	2	0.401	0.02
patient1_p1	chr21	12965551	13035550	69	5	-0.334	0.451	1	1	-0.438	0.132
patient1_p1	chr21	13035551	17111800	3254	1616	-0.073	0.104	3	0	-0.093	1.017
patient1_p1	chr21	17111801	17838800	647	308	0.3	0.076	4	0	0.37	1.023
patient1_p1	chr21	17838801	24755800	6503	5020	-0.112	0.104	3	0	-0.144	1.025
patient1_p1	chr21	24755801	46681650	19388	11159	0.267	0.082	4	0	0.33	1.012
patient1_p1	chr22	10684001	43547000	21979	11992	-0.446	0.14	2	0	-0.593	1.009
patient1_p1	chr22	43547001	50758650	6395	4607	-1.089	0.213	1	0	-1.604	1.038
patient1_p1	chrX	330051	19603150	15658	5588	-0.076	0.377	2	1	-0.097	0.317
patient1_p1	chrX	19603151	19827150	197	9	0.281	0.487	2	2	0.348	0.032
patient1_p1	chrX	19828151	35461650	14176	5198	-0.123	0.378	2	1	-0.157	0.316
patient1_p1	chrX	35461651	148786450	92302	23542	0.234	0.484	2	2	0.291	0.038
patient1_p1	chrX	148786451	149949650	917	171	-0.602	0.154	2	0	-0.816	1.016
patient1_p1	chrX	149949651	155983250	4817	1154	0.253	0.489	2	2	0.314	0.027
patient1_r1	chr1	794251	37857500	30407	14330	-0.037	0.482	3	2	-0.206	0.212
patient1_r1	chr1	37857501	39690500	1573	560	0.587	0.338	18	3	1.871	0.706
patient1_r1	chr1	39690501	39777500	69	19	1.206	0.215	43	3	2.986	0.879
patient1_r1	chr1	39778501	40314500	452	184	0.092	0.474	5	3	0.433	0.218
patient1_r1	chr1	40314501	40772500	394	292	0.366	0.373	12	2	1.338	0.687
patient1_r1	chr1	40772501	41583500	744	316	0.146	0.476	5	4	0.644	0.181
patient1_r1	chr1	41583501	104207350	57447	25751	-0.063	0.497	2	2	-0.368	0.037
patient1_r1	chr1	104207351	104455350	235	325	0.874	0.274	28	3	2.435	0.812
patient1_r1	chr1	104455351	106198350	1612	794	-0.065	0.491	2	2	-0.381	0.113
patient1_r1	chr1	106198351	106803350	582	165	0.87	0.282	28	3	2.428	0.782
patient1_r1	chr1	106803351	107696350	849	328	1.043	0.24	35	3	2.725	0.858
patient1_r1	chr1	107696351	227435750	83161	42541	-0.006	0.475	4	2	-0.032	0.268
patient1_r1	chr1	227435751	248930600	19081	9558	0.098	0.496	4	4	0.457	0.037
patient1_r1	chr2	11001	105519550	89945	43979	0.053	0.492	4	3	0.261	0.071
patient1_r1	chr2	105519551	106389550	763	686	0.314	0.429	9	4	1.195	0.409
patient1_r1	chr2	106469551	242110100	123039	58186	0.04	0.496	3	3	0.198	0.037
patient1_r1	chr3	12351	9318250	8712	6863	0.01	0.479	4	2	0.051	0.218
patient1_r1	chr3	9318251	9327250	9	0	-0.863	NA	NA	NA	-10	NA
patient1_r1	chr3	9327251	68993550	54414	25908	-0.007	0.478	3	2	-0.039	0.234
patient1_r1	chr3	68993551	70888450	1761	1034	0.203	0.47	6	4	0.85	0.201
patient1_r1	chr3	70888451	71055450	154	51	0.533	0.362	16	4	1.752	0.627
patient1_r1	chr3	71055451	71766450	634	358	0.187	0.454	7	3	0.792	0.32
patient1_r1	chr3	71768451	84092750	11316	6369	0.003	0.477	4	2	0.018	0.245
patient1_r1	chr3	84092751	85346750	1188	796	0.382	0.406	11	4	1.382	0.495
patient1_r1	chr3	85347751	137135950	44876	22065	0.088	0.496	4	4	0.414	0.031
patient1_r1	chr3	137135951	198098650	55713	27959	0.173	0.478	6	4	0.745	0.158
patient1_r1	chr4	137201	16411350	14292	9623	0.171	0.492	5	5	0.737	0.055
patient1_r1	chr4	16411351	16429350	13	0	-0.909	NA	NA	NA	-10	NA
patient1_r1	chr4	16429351	52598850	31078	17512	0.136	0.492	5	4	0.606	0.063
patient1_r1	chr4	52598851	61859950	8484	5373	0.006	0.472	4	2	0.034	0.286
patient1_r1	chr4	61859951	72797200	9947	5136	0.098	0.44	6	2	0.457	0.492
patient1_r1	chr4	72797201	73856200	986	319	0.766	0.268	26	2	2.236	0.886
patient1_r1	chr4	73856201	74628200	736	542	0.819	0.258	27	2	2.335	0.894
patient1_r1	chr4	74628201	190037450	106780	56425	-0.128	0.488	2	1	-0.861	0.216
patient1_r1	chr5	43851	181171350	160544	78508	0.004	0.477	4	2	0.023	0.244
patient1_r1	chr6	149001	103899850	92336	46133	-0.045	0.454	4	1	-0.254	0.569
patient1_r1	chr6	103899851	108978850	4587	2186	0.056	0.479	4	3	0.276	0.19
patient1_r1	chr6	108978851	170611150	57041	27915	-0.088	0.422	4	0	-0.539	1.126
patient1_r1	chr7	50351	159333850	135920	73912	-0.047	0.417	5	0	-0.27	1.02
patient1_r1	chr8	212001	32939050	27963	22946	-0.189	0.47	2	0	-1.511	0.808
patient1_r1	chr8	32939051	33340050	386	258	0.292	0.34	12	0	1.128	0.95
patient1_r1	chr8	33340051	35275050	1773	833	0.468	0.299	17	0	1.6	0.973
patient1_r1	chr8	35275051	37051050	1656	406	1.106	0.198	40	1	2.829	0.969
patient1_r1	chr8	37051051	38390050	1176	357	0.807	0.242	28	1	2.312	0.963
patient1_r1	chr8	38392051	38731050	298	129	1.189	0.177	45	0	2.96	1.002
patient1_r1	chr8	38731051	39068050	303	162	0.633	0.245	23	0	1.97	1.069
patient1_r1	chr8	39070051	40343050	1053	615	-0.088	0.44	4	0	-0.541	0.874
patient1_r1	chr8	40343051	41494050	1045	542	0.134	0.49	5	4	0.6	0.081
patient1_r1	chr8	41494051	43509350	1735	345	0.81	0.287	26	3	2.318	0.792
patient1_r1	chr8	43509351	56700750	10471	4590	0.088	0.494	4	4	0.414	0.054
patient1_r1	chr8	56700751	103485550	43249	18112	-0.038	0.451	4	1	-0.213	0.59
patient1_r1	chr8	103485551	145075350	38566	18767	0.146	0.493	5	4	0.644	0.051
patient1_r1	chr9	14001	136207250	97489	51333	-0.092	0.495	2	2	-0.572	0.07
patient1_r1	chr9	136208251	138208550	1604	581	0.052	0.47	4	2	0.258	0.274
patient1_r1	chr10	47451	35408450	31870	19361	0.008	0.465	4	2	0.042	0.367
patient1_r1	chr10	35408451	49712500	8809	6899	0.108	0.49	4	4	0.497	0.081
patient1_r1	chr10	49713501	133622150	76058	40989	-0.006	0.479	3	2	-0.033	0.223
patient1_r1	chr11	197251	135075250	118929	63966	0.025	0.485	4	3	0.13	0.15
patient1_r1	chr12	79551	2130150	1775	824	0.167	0.48	5	4	0.721	0.142
patient1_r1	chr12	2136151	2148150	12	0	-0.856	NA	NA	NA	-10	NA
patient1_r1	chr12	2148151	38267850	30076	16890	0.167	0.476	6	4	0.724	0.17
patient1_r1	chr12	38267851	42343350	3781	1870	0.082	0.493	4	4	0.389	0.062
patient1_r1	chr12	42343351	60315350	15950	7346	0.165	0.474	6	4	0.714	0.184
patient1_r1	chr12	60315351	133248950	66168	33367	0.046	0.492	4	3	0.226	0.073
patient1_r1	chr13	18355101	114351950	88201	47337	-0.097	0.428	4	0	-0.607	1.082
patient1_r1	chr14	19960301	23707350	2749	2164	0.05	0.49	4	3	0.248	0.092
patient1_r1	chr14	23707351	59193850	32572	18001	-0.098	0.493	2	2	-0.617	0.1
patient1_r1	chr14	59193851	73526850	13101	5828	-0.008	0.477	3	2	-0.044	0.248
patient1_r1	chr14	73558851	73583850	13	0	-0.978	NA	NA	NA	-10	NA
patient1_r1	chr14	73586851	106883450	29709	16368	0.006	0.467	4	2	0.033	0.347
patient1_r1	chr15	17034751	33596950	8315	5085	0.133	0.496	4	4	0.597	0.032
patient1_r1	chr15	33597951	50537200	15010	5811	0.006	0.481	4	2	0.033	0.198
patient1_r1	chr15	50538201	50606200	62	29	0.52	0.413	13	6	1.722	0.399
patient1_r1	chr15	50606201	85903450	31024	15762	-0.002	0.471	4	2	-0.009	0.307
patient1_r1	chr15	85903451	85934450	27	26	0.598	0.372	17	5	1.896	0.554
patient1_r1	chr15	85934451	101882550	14572	9242	0.03	0.474	4	2	0.15	0.254
patient1_r1	chr16	21001	90098000	63995	37855	-0.074	0.433	4	0	-0.446	0.919
patient1_r1	chr17	387901	70873050	54248	24058	-0.049	0.41	5	0	-0.28	1.123
patient1_r1	chr17	70873051	83204050	10553	6162	0.031	0.39	6	0	0.157	1.069
patient1_r1	chr18	64351	6417250	5808	4226	0.073	0.489	4	3	0.349	0.092
patient1_r1	chr18	6417251	8051250	1515	805	0.222	0.445	7	3	0.911	0.359
patient1_r1	chr18	8051251	25520050	10290	5228	0.054	0.491	4	3	0.268	0.084
patient1_r1	chr18	25520051	80257250	50569	27466	-0.086	0.442	4	0	-0.53	0.832
patient1_r1	chr19	270951	5749950	3801	2665	-0.082	0.422	4	0	-0.5	1.1
patient1_r1	chr19	5751951	6296950	436	107	0.133	0.491	5	4	0.597	0.072
patient1_r1	chr19	6296951	12963250	4902	2748	-0.072	0.438	4	0	-0.427	0.837
patient1_r1	chr19	12963251	13950250	730	399	0.764	0.315	23	4	2.233	0.71
patient1_r1	chr19	13950251	14241250	202	80	0.259	0.481	7	5	1.03	0.12
patient1_r1	chr19	14242251	14889250	466	308	-0.109	0.423	4	0	-0.7	1.232
patient1_r1	chr19	14889251	16057250	943	936	0.123	0.487	5	4	0.559	0.102
patient1_r1	chr19	16058251	21847500	4533	2345	-0.013	0.463	4	2	-0.067	0.411
patient1_r1	chr19	21847501	31668150	6161	3257	0.107	0.494	4	4	0.494	0.048
patient1_r1	chr19	31668151	58538400	20859	12121	0.002	0.468	4	2	0.012	0.342
patient1_r1	chr20	67651	17256650	15869	8680	-0.087	0.431	4	0	-0.538	1.003
patient1_r1	chr20	17256651	18871650	1470	830	0.112	0.472	5	3	0.512	0.227
patient1_r1	chr20	18871651	18961650	81	55	1.148	0.247	38	4	2.895	0.797
patient1_r1	chr20	18961651	19873650	863	488	0.087	0.493	4	4	0.411	0.056
patient1_r1	chr20	19873651	22311650	2266	693	-0.09	0.428	4	0	-0.557	1.052
patient1_r1	chr20	22312651	60992950	30984	15260	0.11	0.496	4	4	0.503	0.036
patient1_r1	chr20	60992951	64285950	2858	1909	0.162	0.49	5	4	0.704	0.074
patient1_r1	chr21	12965551	24760800	10478	6951	-0.005	0.4	6	0	-0.025	1.071
patient1_r1	chr21	24760801	46681650	19383	11157	0.067	0.381	7	0	0.323	1.052
patient1_r1	chr22	10684001	50758650	28374	16599	-0.111	0.433	3	0	-0.717	1.087
patient1_r1	chrX	330051	148784450	122331	34337	0.035	0.496	3	3	0.179	0.037
patient1_r1	chrX	148784451	149949650	919	171	-0.121	0.484	2	1	-0.798	0.262
patient1_r1	chrX	149949651	155983250	4817	1154	0.063	0.492	4	3	0.307	0.069
patient1_r2	chr1	794251	61644500	51866	22076	0.01	0.459	1	1	0.01	0.082
patient1_r2	chr1	61644501	106203350	41072	20495	-0.024	0.465	1	1	-0.024	0.07
patient1_r2	chr1	106203351	107694350	1424	492	0.179	0.429	1	1	0.179	0.142
patient1_r2	chr1	107694351	248930600	102244	52100	-0.002	0.453	1	1	-0.002	0.094
patient1_r2	chr2	11001	242110100	213747	102851	0	0.456	1	1	0	0.088
patient1_r2	chr3	12351	198098650	178777	91403	-0.003	0.456	1	1	-0.003	0.088
patient1_r2	chr4	137201	16411350	14292	9623	0.024	0.459	1	1	0.024	0.081
patient1_r2	chr4	16411351	16429350	13	0	-0.842	NA	NA	NA	-0.842	NA
patient1_r2	chr4	16429351	190037450	158011	85307	-0.02	0.455	1	1	-0.02	0.09
patient1_r2	chr5	43851	181171350	160544	78508	-0.011	0.461	1	1	-0.011	0.078
patient1_r2	chr6	149001	170611150	153964	76234	-0.019	0.468	1	1	-0.019	0.065
patient1_r2	chr7	50351	159333850	135920	73912	-0.006	0.464	1	1	-0.006	0.071
patient1_r2	chr8	212001	35279050	30126	24040	-0.02	0.459	1	1	-0.02	0.082
patient1_r2	chr8	35279051	39045050	3409	1044	0.159	0.437	1	1	0.159	0.127
patient1_r2	chr8	39045051	145075350	96139	42978	-0.007	0.458	1	1	-0.007	0.083
patient1_r2	chr9	14001	138208550	99093	51914	-0.015	0.456	1	1	-0.015	0.087
patient1_r2	chr10	47451	133622150	116737	67249	-0.004	0.455	1	1	-0.004	0.09
patient1_r2	chr11	197251	135075250	118929	63966	-0.004	0.461	1	1	-0.004	0.078
patient1_r2	chr12	79551	133248950	117762	60297	0.006	0.453	1	1	0.006	0.094
patient1_r2	chr13	18355101	114351950	88201	47337	-0.026	0.454	1	1	-0.026	0.092
patient1_r2	chr14	19960301	106883450	78144	42361	-0.009	0.456	1	1	-0.009	0.088
patient1_r2	chr15	17034751	50537200	23325	10896	0	0.46	1	1	0	0.079
patient1_r2	chr15	50538201	50606200	62	29	0.558	0.359	2	1	0.558	0.283
patient1_r2	chr15	50606201	101882550	45623	25030	0.002	0.462	1	1	0.002	0.075
patient1_r2	chr16	21001	90098000	63995	37855	0.001	0.464	1	1	0.001	0.071
patient1_r2	chr17	387901	83204050	64801	30220	0.011	0.462	1	1	0.011	0.076
patient1_r2	chr18	64351	80257250	68182	37725	-0.013	0.465	1	1	-0.013	0.07
patient1_r2	chr19	270951	58538400	43033	24966	0.022	0.456	1	1	0.022	0.088
patient1_r2	chr20	67651	64285950	54391	27915	0.009	0.456	1	1	0.009	0.089
patient1_r2	chr21	12965551	46681650	29861	18108	-0.003	0.456	1	1	-0.003	0.088
patient1_r2	chr22	10684001	50758650	28374	16599	0.001	0.463	1	1	0.001	0.075
patient1_r2	chrX	330051	155983250	128067	35662	-0.021	0.47	1	1	-0.021	0.06
patient3_p1	chr1	794251	6344500	4732	4189	-0.18	0.106	2	0	-0.204	0.9
patient3_p1	chr1	6344501	6666500	273	83	0.38	0.08	4	0	0.42	0.916
patient3_p1	chr1	6666501	21476500	11782	8016	-0.213	0.105	2	0	-0.242	0.906
patient3_p1	chr1	21476501	22421500	811	821	-0.069	0.094	3	0	-0.078	0.918
patient3_p1	chr1	22421501	32595500	8685	4827	-1.09	0.195	1	0	-1.305	0.796
patient3_p1	chr1	32596501	35822500	2879	1000	-0.409	0.483	1	1	-0.469	0.039
patient3_p1	chr1	35822501	36241500	354	163	0.083	0.357	2	1	0.093	0.319
patient3_p1	chr1	36245501	71105500	31582	16453	-0.435	0.496	1	1	-0.499	0.009
patient3_p1	chr1	71105501	78676500	7019	3523	-0.497	0.482	1	1	-0.572	0.042
patient3_p1	chr1	78676501	78730500	49	1	0.053	0.488	2	2	0.059	0.028
patient3_p1	chr1	78730501	83491500	4294	3431	-0.494	0.49	1	1	-0.568	0.024
patient3_p1	chr1	83491501	97735150	13132	8146	-0.448	0.495	1	1	-0.514	0.012
patient3_p1	chr1	97736151	97748150	12	0	-1.5	NA	NA	NA	-1.867	NA
patient3_p1	chr1	97748151	101326150	3360	2040	-0.466	0.491	1	1	-0.535	0.021
patient3_p1	chr1	101326151	145687200	17126	10870	0.051	0.369	2	1	0.057	0.294
patient3_p1	chr1	145687201	161512150	11503	6379	0.103	0.372	2	1	0.115	0.286
patient3_p1	chr1	161515151	161591400	30	1	0.461	0.487	2	2	0.508	0.028
patient3_p1	chr1	161592401	187842650	24024	12828	0.067	0.373	2	1	0.075	0.283
patient3_p1	chr1	187842651	199892900	10960	7307	-0.001	0.373	2	1	-0.001	0.285
patient3_p1	chr1	199892901	228397750	25688	14395	0.085	0.374	2	1	0.095	0.281
patient3_p1	chr1	228397751	228649750	146	113	0.484	0.302	3	1	0.534	0.43
patient3_p1	chr1	228649751	248930600	18159	13497	0.068	0.375	2	1	0.076	0.28
patient3_p1	chr2	12001	4164850	3738	3272	-0.025	0.388	2	1	-0.028	0.252
patient3_p1	chr2	4164851	4175850	10	0	-1.41	NA	NA	NA	-1.739	NA
patient3_p1	chr2	4175851	49305450	41468	28687	0.002	0.387	2	1	0.002	0.254
patient3_p1	chr2	49306451	49317450	11	1	-1.34	0.483	1	0	-1.641	0.046
patient3_p1	chr2	49317451	76946750	25314	16158	-0.01	0.393	2	1	-0.011	0.24
patient3_p1	chr2	76946751	96343650	11396	6736	0.342	0.489	2	2	0.379	0.025
patient3_p1	chr2	96343651	96552650	180	7	0.763	0.445	3	2	0.834	0.117
